"theme_name","github_repository","github_direct_link","is_dark","screenshot","description"
"49th Parallel","https://github.com/wvictor14/rstudio_themes","https://raw.githubusercontent.com/wvictor14/rstudio_themes/master/49th%20Parallel.rstheme",TRUE,"https://raw.githubusercontent.com/wvictor14/rstudio_themes/master/images/preview_49th_parallel.png","a dark theme as a tribute to a Vancouver coffee shop"
"a11y-dark {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/a11y-dark.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/a11y_dark.png","from the rsthemes package"
"a11y-light {rsthemes}","https://github.com/gadenbuie/rsthemes","https://raw.githubusercontent.com//gadenbuie/rsthemes/main/inst/themes/a11y-light.rstheme",FALSE,"","from the rsthemes package"
"Alice","https://github.com/rileytwo/rsthemes","https://raw.githubusercontent.com/rileytwo/rsthemes/master/Alice.rstheme",TRUE,"","similar to the Kiss theme"
"An Old Hope","https://github.com/otzslayer/an-old-hope-rstudio","https://raw.githubusercontent.com/otzslayer/an-old-hope-rstudio/master/An%20Old%20Hope.tmTheme",TRUE,""," inspired by a galaxy far far away"
"Apprentice","https://github.com/FvD/rsApprentice","https://raw.githubusercontent.com/FvD/rsApprentice/master/Apprentice.rstheme",TRUE,"","based on the Apprentice color scheme for vim"
"Ariake Dark","https://github.com/lusignan/rstudio-ariake-dark","https://raw.githubusercontent.com/lusignan/rstudio-ariake-dark/main/ariake-dark.rstheme",TRUE,"https://raw.githubusercontent.com/lusignan/rstudio-ariake-dark/main/img/screenshot.png","Full RStudio IDE port of Ryosuke Goto's Ariake Dark theme"
"Asher Theme","https://github.com/michaelasher/CustomRStudioTheme","https://raw.githubusercontent.com/CustomRStudioTheme/master/RStudioStyleFiles/asher.rstheme",TRUE,"https://raw.githubusercontent.com/michaelasher/CustomRStudioTheme/master/images/RStudioAsherAppearance.png","a dark theme emulating the style of Visual Studio"
"ayu-dark","https://github.com/graiffgarcia/ayu-ish-rstudio","https://raw.githubusercontent.com/graiffgarcia/ayu-ish-rstudio/master/rstheme/ayu-dark.rstheme",TRUE,"https://raw.githubusercontent.com/graiffgarcia/ayu-ish-rstudio/master/assets/ayu-dark.png","part of an ayu-ish theme collection by graiffgarcia (which is a port of the Ayu sublime theme)"
"Ayu-light-owl","https://github.com/js-oh/ayu-light-owl","https://raw.githubusercontent.com/js-oh/ayu-light-owl/master/ayu-light-owl.rstheme",FALSE,"https://raw.githubusercontent.com/js-oh/ayu-light-owl/master/images/ayu-light-owl-script-screenshot.png","Ayu-light modified by the color scheme from Light Owl"
"ayu dark","https://github.com/davidgibsonp/ayu-rstudio/","https://raw.githubusercontent.com/davidgibsonp/ayu-rstudio/master/rstheme/ayu-dark.rstheme",TRUE,"https://raw.githubusercontent.com/davidgibsonp/ayu-rstudio/master/assets/dark.png","part of the Ayu theme collection by David Gibson (which is a port of the Ayu sublime theme)"
"Ayu Light","https://github.com/davidgibsonp/ayu-rstudio","https://raw.githubusercontent.com/davidgibsonp/ayu-rstudio/master/rstheme/ayu-light.rstheme",FALSE,"https://raw.githubusercontent.com/davidgibsonp/ayu-rstudio/master/assets/light.png","part of the Ayu theme collection by David Gibson (which is a port of the Ayu sublime theme)"
"ayu mirage","https://github.com/davidgibsonp/ayu-rstudio/","https://raw.githubusercontent.com/davidgibsonp/ayu-rstudio/master/rstheme/ayu-mirage.rstheme",TRUE,"https://raw.githubusercontent.com/davidgibsonp/ayu-rstudio/master/assets/mirage.png","part of the Ayu theme collection by David Gibson (which is a port of the Ayu sublime theme)"
"Barbie Theme Dark","https://github.com/emhogg/r_studio_themes/","https://raw.githubusercontent.com/emhogg/r_studio_themes/main/Barbie%20Theme%20Dark.rstheme",TRUE,"",""
"Barbie Theme Light 1","https://github.com/emhogg/r_studio_themes/","https://raw.githubusercontent.com/emhogg/r_studio_themes/main/Barbie_Theme_Light.rstheme",TRUE,"",""
"Barbie Theme Light 2","https://github.com/emhogg/r_studio_themes/","https://raw.githubusercontent.com/emhogg/r_studio_themes/main/Barbie%20Theme%20Light%202.rstheme",TRUE,"",""
"base16 3024 {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-3024.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_3024.png","from the rsthemes package"
"base16 Apathy {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-apathy.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_apathy.png","from the rsthemes package"
"base16 Ashes {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-ashes.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_ashes.png","from the rsthemes package"
"base16 Atelier Cave {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-atelier-cave.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_atelier_cave.png","from the rsthemes package"
"base16 Atelier Dune {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-atelier-dune.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_atelier_dune.png","from the rsthemes package"
"base16 Atelier Estuary {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-atelier-estuary.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_atelier_estuary.png","from the rsthemes package"
"base16 Atelier Forest {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-atelier-forest.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_atelier_forest.png","from the rsthemes package"
"base16 Atelier Heath {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-atelier-heath.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_atelier_heath.png","from the rsthemes package"
"base16 Atelier Lakeside {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-atelier-lakeside.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_atelier_lakeside.png","from the rsthemes package"
"base16 Atelier Plateau {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-atelier-plateau.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_atelier_plateau.png","from the rsthemes package"
"base16 Atelier Savanna {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-atelier-savanna.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_atelier_savanna.png","from the rsthemes package"
"base16 Atelier Seaside {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-atelier-seaside.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_atelier_seaside.png","from the rsthemes package"
"base16 Atelier Sulphurpool {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-atelier-sulphurpool.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_atelier_sulphurpool.png","from the rsthemes package"
"base16 Bespin {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-bespin.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_bespin.png","from the rsthemes package"
"base16 Brewer {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-brewer.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_brewer.png","from the rsthemes package"
"base16 Bright {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-bright.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_bright.png","from the rsthemes package"
"base16 Chalk {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-chalk.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_chalk.png","from the rsthemes package"
"base16 Codeschool {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-codeschool.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_codeschool.png","from the rsthemes package"
"base16 Cupcake {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-cupcake.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_cupcake.png","from the rsthemes package"
"base16 Darktooth {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-darktooth.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_darktooth.png","from the rsthemes package"
"base16 Default Dark {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-default-dark.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_default_dark.png","from the rsthemes package"
"base16 Default Light {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-default-light.rstheme",FALSE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_default_light.png","from the rsthemes package"
"base16 Dracula {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-dracula.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_dracula.png","from the rsthemes package"
"base16 Eighties {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-eighties.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_eighties.png","from the rsthemes package"
"Base16 Eighties Dark","https://github.com/jealcalat/rstudio_themes","https://raw.githubusercontent.com/jealcalat/rstudio_themes/master/Base16%20Eighties%20Dark.tmTheme",TRUE,"","part of a collection of modified tmthemes"
