theme_name,github_repository,github_direct_link,is_dark,screenshot,description
Ayu Light,https://github.com/davidgibsonp/ayu-rstudio,https://raw.githubusercontent.com/davidgibsonp/ayu-rstudio/master/rstheme/ayu-light.rstheme,FALSE,https://raw.githubusercontent.com/davidgibsonp/ayu-rstudio/master/assets/light.png,part of the Ayu theme collection by David Gibson (which is a port of the Ayu sublime theme)
a11y-light {rsthemes},https://github.com/gadenbuie/rsthemes,https://raw.githubusercontent.com//gadenbuie/rsthemes/main/inst/themes/a11y-light.rstheme,FALSE,,from the rsthemes package
BreezeDefault,https://github.com/nnamliehbes/Breeze-RStudio-Theme,https://raw.githubusercontent.com/nnamliehbes/Breeze-RStudio-Theme/master/BreezeDefault.rstheme,FALSE,https://github.com/nnamliehbes/Breeze-RStudio-Theme/master/BreezeDefault.png,a theme matching the Breeze theme in KDE Plasma
Ayu-light-owl,https://github.com/js-oh/ayu-light-owl,https://raw.githubusercontent.com/js-oh/ayu-light-owl/master/ayu-light-owl.rstheme,FALSE,https://raw.githubusercontent.com/js-oh/ayu-light-owl/master/images/ayu-light-owl-script-screenshot.png,Ayu-light modified by the color scheme from Light Owl
Driven Snow,https://github.com/mkearney/driven-snow,https://raw.githubusercontent.com/mkearney/driven-snow/master/theme/driven-snow.rstheme,FALSE,https://raw.githubusercontent.com/mkearney/driven-snow/master/img/screen-shot.png,a light bare-bones custom theme
Dutch Delight,https://github.com/jpsnijder/tmThemes,https://raw.githubusercontent.com/jpsnijder/tmThemes/master/DutchDelight.rstheme,FALSE,,part of a repository that is meant as a private theme collection
Espresso,https://github.com/jealcalat/rstudio_themes,https://raw.githubusercontent.com/jealcalat/rstudio_themes/master/Espresso.rstheme,FALSE,,part of a collection of modified tmthemes
Flat White {rsthemes},https://github.com/gadenbuie/rsthemes,https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/flat-white.rstheme,FALSE,,from the rsthemes package
gamelad,https://github.com/matt-dray/gamelad,https://raw.githubusercontent.com/matt-dray/gamelad/main/gamelad.rstheme,FALSE,https://raw.githubusercontent.com/matt-dray/gamelad/main/img/rstudio-safar6-gamelad-vt323.png,a theme limited to the greens of the original Nintendo Game Boy
GitHub {rsthemes},https://github.com/gadenbuie/rsthemes,https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/github.rstheme,FALSE,,from the rsthemes package
Limelight,https://github.com/jealcalat/rstudio_themes,https://raw.githubusercontent.com/jealcalat/rstudio_themes/master/Limelight.rstheme,TRUE,,part of a collection of modified tmthemes
Material Lighter,https://github.com/lusignan/RStudio-Material-Theme,https://raw.githubusercontent.com/lusignan/RStudio-Material-Theme/blob/main/material-lighter.rstheme,FALSE,https://raw.githubusercontent.com/lusignan/RStudio-Material-Theme/main/img/material-lighter-preview.png,port of the Material theme in five variants
